ano,mes,dia,bitcoin,blockchain,web3
1970,01,01,0,0,0
2024,03,10,0,0,1
2024,03,11,2,0,1
2024,03,12,2,1,1
2024,03,13,2,2,0
2024,03,14,4,1,2
2024,03,15,0,0,0
2024,03,16,1,0,0
2024,03,17,0,0,1
2024,03,18,0,1,1
2024,03,19,0,0,1
2024,03,20,2,1,0
2024,03,21,1,0,2
2024,03,22,2,1,1
2024,03,23,1,1,1
2024,03,25,0,0,0
2024,03,26,0,1,0
2024,03,27,0,0,0
2024,03,28,3,0,1
2024,03,29,0,0,0
2024,03,30,0,0,0
2024,03,31,1,1,0
2024,04,01,1,0,2
2024,04,02,7,1,6
2024,04,03,3,0,1
